Student_ID , First_Name , Last_Name , Age , Gender , Course , Enrollment_Date , Total_Payments,
101        | John       | Smith     | 22  | M      | Data Science   | 2022-05-15      | $1200,,,,,,,,
102        | Emily      | Johnson   | 24  | F      | Machine Learnin| 2022-03-18      | $1400,,,,,,,,
103        | Michael    | Williams  | 21  | M      | Data Science   | 2022-06-25      | $900,,,,,,,,
104        | Sarah      | Brown     | 23  | F      | Data Science   | NA              | $1100,,,,,,,,
105        | David      | Davis     | 20  | M      | Web Developmen | 2021-09-10      | $950,,,,,,,,
106        | Jessica    | Miller    | 25  | F      | Machine Learnin| 2022-04-22      | $1300,,,,,,,,
107        | Brian      | Wilson    | 19  | M      | Data Science   | 2022-07-02      | $1000,,,,,,,,
108        | Amanda     | Taylor    | 22  | F      | Machine Learnin| 2022-08-15      | $1200,,,,,,,,
109        | William    | Anderson  | 24  | M      | Data Science   | 2022-01-10      | $950,,,,,,,,
110        | Olivia     | Martinez  | 26  | F      | Data Science   | 2023-02-28      | $1150,,,,,,,,
Student_ID | First_Name | Last_Name | Age | Gender | Course         | Enrollment_Date | Total_Payments,,,,,,,,
111     | Williams     | Smith     | 22  | M      | Data Science   | 2022-05-15      | $1200,,,,,,,,
112     | Emily      | Emodi   | 24  | F      | Machine Learning | 2022-03-18     | $1400,,,,,,,,
113      | Esther   | Adams  | 21  | M      | Data Science   | 2022-06-25      | $900,,,,,,,,
114       | Sarah      | Brown     | 23  | F      | Data Science   | NA              | $1100,,,,,,,,
115      | David      | Davis     | 20  | M      | Web Development | 2021-09-10    | $950,,,,,,,,
116,Davis ,Brown,,M 25,Data Analytics,05/09/2023," ?20,000.00 ",
117,Anita,West,,F 24,4,05/01/2020," ?30,000.00 ",
118,Olawale Akintola,,,M 20,Web Developmet,05/08/2021," ?30,000.00 ",
119,Wike,Akintola,,M 25,,06/05/2022," ?36,000.00 ",
120,,Leke,,M 21,,07/09/2023," ?40,000.00 ",
121,Ayodele,,F,18,Machine Learning,08/09/2023," ?37,440.00 ",
122,,,M,25,,09/09/2022," ?37,488.00 ",
123,,,F,25,,10/09/2021," ?37,497.60 ",
124,,,,,,11/09/2021,,
127,101        | Ethan      | Miller     | 22  | M      | Data Science    | 2022-05-15      | $1200,,,,,,,
128,102        | Olivia     | Johnson    | 24  | F      | Machine Learning| 2022-03-18      | $1400,,,,,,,
129,103        | Noah       | Williams   | 21  | M      | Data Science    | 2022-06-25      | $900,,,,,,,
130,104        | Emma       | Brown      | 23  | F      | Data Science    | NA              | $1100,,,,,,,
131,105        | Liam       | Davis      | 20  | M      | Web Development | 2021-09-10      | $950,,,,,,,
132,106        | Ava        | Miller     | 25  | F      | Machine Learning| 2022-04-22      | $1300,,,,,,,
133,107        | William    | Wilson     | 19  | M      | Data Science    | 2022-07-02      | $1000,,,,,,,
134,108        | Sophia     | Taylor     | 22  | F      | Machine Learning| 2022-08-15      | $1200,,,,,,,
135,109        | James      | Anderson   | 24  | M      | Data Science    | 2022-01-10      | $950,,,,,,,
136,110        | Isabella   | Martinez   | 26  | F      | Data Science    | 2023-02-28      | $1150,,,,,,,
